# Program:featureCounts v2.0.1; Command:"/home/kabil/.anaconda3/envs/binf/bin/featureCounts" "-p" "-a" "/mnt/h/data/refseq/NC_001133.9_genomic.gtf.gz" "-o" "feature_counts.txt" "/mnt/h/data/samfiles/SRR1302790.sam" "/mnt/h/data/samfiles/SRR1302792.sam" "-O" "-T" "12" "--tmpDir" "/mnt/h/tmp/" "-t" "exon" "-g" "gene_id" 
Geneid	Chr	Start	End	Strand	Length	/mnt/h/data/samfiles/SRR1302790.sam	/mnt/h/data/samfiles/SRR1302792.sam
YER014W	NC_001137.3	182600	184219	+	1620	465	2424
YER014C-A	NC_001137.3;NC_001137.3	183731;184678	184169;184700	-;-	462	127	885
YER015W	NC_001137.3	184541	186775	+	2235	145	885
YER016W	NC_001137.3	188277	189311	+	1035	1568	3599
YER017C	NC_001137.3	189503	191788	-	2286	931	4006
YER018C	NC_001137.3	191959	192624	-	666	453	1218
YER019W	NC_001137.3	192797	194230	+	1434	1610	6587
YER019C-A	NC_001137.3	194273	194539	-	267	4715	8390
YER020W	NC_001137.3	195168	196517	+	1350	314	2260
YER021W	NC_001137.3	196948	198519	+	1572	5167	19004
YER022W	NC_001137.3	198812	200875	+	2064	769	2884
YER023W	NC_001137.3	201076	201936	+	861	4235	8315
YER024W	NC_001137.3	202192	204963	+	2772	196	1424
YER025W	NC_001137.3	205251	206834	+	1584	4562	19940
YNCE0013W	NC_001137.3	207357	207428	+	72	3516	13571
YER026C	NC_001137.3	207644	208474	-	831	2579	6216
YER027C	NC_001137.3	208979	210232	-	1254	751	2847
YER028C	NC_001137.3	210692	211876	-	1185	87	1151
YER029C	NC_001137.3	212587	213177	-	591	260	1614
YER030W	NC_001137.3	213437	213898	+	462	864	2156
YER031C	NC_001137.3	214076	214747	-	672	1106	3379
YER032W	NC_001137.3	215063	217693	+	2631	85	685
YER033C	NC_001137.3	218057	221287	-	3231	77	1540
YER034W	NC_001137.3	221846	222403	+	558	89	947
YER035W	NC_001137.3	222639	223076	+	438	211	4196
YER036C	NC_001137.3	223367	225199	-	1833	4372	25610
YER037W	NC_001137.3	225889	226854	+	966	155	20746
YER038C	NC_001137.3	226858	228252	-	1395	148	4505
YER038W-A	NC_001137.3	228451	228831	+	381	70	440
YER039C	NC_001137.3	228456	229205	-	750	138	789
YER039C-A	NC_001137.3	229263	229481	-	219	38	160
YER040W	NC_001137.3	229795	231987	+	2193	155	753
YER041W	NC_001137.3	232461	234740	+	2280	279	2248
YER042W	NC_001137.3	234937	235491	+	555	439	1212
YER043C	NC_001137.3	235770	237119	-	1350	6234	15722
YER044C	NC_001137.3	237570	238016	-	447	167	753
YER044C-A	NC_001137.3;NC_001137.3	238460;239712	239623;239774	-;-	1227	37	322
YER045C	NC_001137.3	240032	241501	-	1470	122	1787
YER046W	NC_001137.3	243180	243611	+	432	107	472
YER047C	NC_001137.3	243810	246503	-	2694	207	1913
YER048C	NC_001137.3	246982	248157	-	1176	1497	3891
YNCE0014W	NC_001137.3	250286	250357	+	72	6412	13535
YER048W-A	NC_001137.3	250718	251002	+	285	1004	2689
YER049W	NC_001137.3	251728	253662	+	1935	5935	27836
YER050C	NC_001137.3	253971	254387	-	417	307	2846
YER051W	NC_001137.3	254656	256134	+	1479	414	1869
YER052C	NC_001137.3	256375	257958	-	1584	465	2880
YER053C	NC_001137.3	258737	259639	-	903	126	8604
YER053C-A	NC_001137.3	260933	261046	-	114	7	1352
YER054C	NC_001137.3	262052	263698	-	1647	23	587
YER055C	NC_001137.3	264892	265785	-	894	5050	5860
YER056C	NC_001137.3	266512	268113	-	1602	6025	25468
YER056C-A	NC_001137.3;NC_001137.3	269423;270149	269751;270185	-;-	366	2908	10391
YER057C	NC_001137.3	270737	271126	-	390	391	1528
YER058W	NC_001137.3	271768	272091	+	324	16	32
YER059W	NC_001137.3	272624	273886	+	1263	201	534
YER060W	NC_001137.3	274567	276153	+	1587	922	1850
YER060W-A	NC_001137.3	276572	278164	+	1593	181	1313
YER061C	NC_001137.3	278298	279626	-	1329	158	1880
YER062C	NC_001137.3	279930	280682	-	753	407	18925
YER063W	NC_001137.3	281710	282366	+	657	588	2983
YER064C	NC_001137.3	282705	284222	-	1518	393	2478
YER065C	NC_001137.3	285241	286914	-	1674	466	3882
YNCE0015C	NC_001137.3	288443	288524	-	82	628	1239
YER066W	NC_001137.3	290242	290799	+	558	101	567
YER067W	NC_001137.3	292066	292551	+	486	55	205
YER068W	NC_001137.3	293050	294813	+	1764	105	2039
YER069W	NC_001137.3	295410	298001	+	2592	443	3925
YER070W	NC_001137.3	298950	301616	+	2667	2482	8131
YER071C	NC_001137.3	301947	302327	-	381	182	1002
YER072W	NC_001137.3	302806	303195	+	390	1891	2799
YER073W	NC_001137.3	304030	305592	+	1563	3383	5971
YER074W	NC_001137.3;NC_001137.3	306323;306792	306325;307196	+;+	408	13177	43773
YER074W-A	NC_001137.3;NC_001137.3;NC_001137.3	307653;307849;308068	307746;307956;308123	+;+;+	258	823	1691
YER075C	NC_001137.3	308413	311199	-	2787	272	1958
YNCE0016C	NC_001137.3	312023	312095	-	73	2750	18188
YER076C	NC_001137.3	312590	313498	-	909	287	1365
YER077C	NC_001137.3	314534	316600	-	2067	362	2123
YER078C	NC_001137.3	316807	318342	-	1536	488	1795
YER078W-A	NC_001137.3	318646	318810	+	165	3	22
YER079W	NC_001137.3	318920	319552	+	633	61	413
YER080W	NC_001137.3	319963	321846	+	1884	830	2267
YNCE0017W	NC_001137.3	322212	322762	+	551	701	2123
YER081W	NC_001137.3	322686	324095	+	1410	741	3779
YER082C	NC_001137.3	324272	325936	-	1665	232	1444
YER083C	NC_001137.3	326174	327031	-	858	379	3719
YER084W	NC_001137.3	327065	327451	+	387	0	1
YER085C	NC_001137.3	327619	328140	-	522	0	19
YER086W	NC_001137.3	328477	330207	+	1731	555	4024
YER087W	NC_001137.3	330576	332306	+	1731	440	1177
YER087C-B	NC_001137.3	332582	332830	-	249	100	459
YER088C	NC_001137.3	333176	335188	-	2013	252	2254
YER089C	NC_001137.3	335946	337340	-	1395	2151	8619
YER090W	NC_001137.3	337949	339472	+	1524	1477	4692
YER091C	NC_001137.3	339864	342167	-	2304	5708	11662
YER092W	NC_001137.3	342855	343232	+	378	581	2194
YER093C	NC_001137.3	343320	347612	-	4293	1131	5256
YER093C-A	NC_001137.3;NC_001137.3	347912;348277	348201;348400	-;-	414	28	201
YER094C	NC_001137.3	348729	349346	-	618	2756	9431
YER095W	NC_001137.3	349980	351182	+	1203	1057	4394
YER096W	NC_001137.3	351698	353236	+	1539	38	621
YNCE0018W	NC_001137.3	354934	355005	+	72	16889	41726
YER098W	NC_001137.3	355466	357730	+	2265	154	1647
YER099C	NC_001137.3	358105	359061	-	957	836	3343
YER100W	NC_001137.3	359562	360314	+	753	508	2535
YER101C	NC_001137.3	360502	361794	-	1293	124	515
YER102W	NC_001137.3	363100	363702	+	603	34457	102146
YER103W	NC_001137.3	364589	366517	+	1929	572	5152
YER104W	NC_001137.3	366802	367428	+	627	125	847
YER105C	NC_001137.3	367838	372013	-	4176	2724	8682
YER106W	NC_001137.3	372326	373234	+	909	6	29
YER107C	NC_001137.3	373448	374545	-	1098	2141	4101
YER110C	NC_001137.3	378762	382103	-	3342	5460	18590
YER111C	NC_001137.3	382595	385876	-	3282	422	2198
YER112W	NC_001137.3	387232	387795	+	564	518	2585
YER113C	NC_001137.3	387932	390052	-	2121	1450	4047
YER114C	NC_001137.3	390590	393712	-	3123	759	5385
YER115C	NC_001137.3	394292	394867	-	576	262	2033
YER116C	NC_001137.3	395348	396172	-	825	317	1502
YER117W	NC_001137.3;NC_001137.3	396769;397282	396810;397653	+;+	414	29322	47202
YER118C	NC_001137.3	397952	399055	-	1104	129	721
YER119C	NC_001137.3	399496	400842	-	1347	194	1255
YER120W	NC_001137.3	401135	401869	+	735	2201	11014
YER121W	NC_001137.3	402375	402719	+	345	31	99
YER122C	NC_001137.3	402871	404352	-	1482	3072	11302
YER123W	NC_001137.3	404813	406387	+	1575	280	2930
YER124C	NC_001137.3	407342	409063	-	1722	3838	14594
YER125W	NC_001137.3	410189	412618	+	2430	3736	19250
YER126C	NC_001137.3	413394	414179	-	786	1599	10110
YER127W	NC_001137.3	414481	415554	+	1074	591	3177
YER128W	NC_001137.3	415859	416470	+	612	53	385
YER129W	NC_001137.3	417281	420709	+	3429	845	6338
YER130C	NC_001137.3	421115	422446	-	1332	598	44272
YER131W	NC_001137.3	423952	424311	+	360	2597	20729
YNCE0019W	NC_001137.3	424698	424883	+	186	9037	21880
YER132C	NC_001137.3	425188	430449	-	5262	304	5733
YNCE0020C	NC_001137.3	431129	431220	-	92	222134	359077
YER133W	NC_001137.3;NC_001137.3	432495;433197	432671;433958	+;+	939	2915	8629
YNCE0021C	NC_001137.3	434541	434612	-	72	3592	13249
YNCE0022C	NC_001137.3	435752	435824	-	73	542	1036
YER134C	NC_001137.3	437267	437803	-	537	180	1484
YER135C	NC_001137.3	437952	438344	-	393	15	50
YNCE0023W	NC_001137.3	438700	438773	+	74	601	317
YER136W	NC_001137.3	439616	440971	+	1356	838	3499
YER137C	NC_001137.3	441373	441819	-	447	25	165
YNCE0024W	NC_001137.3	441987	442508	+	522	493026	1839268
YNCE0025C	NC_001137.3	443202	443275	-	74	39	65
YER138C	NC_001137.3	443756	449024	-	5269	17757	15250
YER137C-A	NC_001137.3	447702	449024	-	1323	2972	5207
YER138W-A	NC_001137.3	449474	449578	+	105	414	150
YER139C	NC_001137.3	450563	451243	-	681	200	569
YER140W	NC_001137.3	451565	453235	+	1671	340	1795
YER141W	NC_001137.3	453459	454919	+	1461	1036	3280
YER142C	NC_001137.3	455146	456036	-	891	140	304
YER143W	NC_001137.3	456319	457605	+	1287	402	2128
YER144C	NC_001137.3	457806	460223	-	2418	267	3465
YER145C	NC_001137.3	460526	461740	-	1215	4391	8624
YER145C-A	NC_001137.3	462386	462823	-	438	1191	2094
YER146W	NC_001137.3	462585	462866	+	282	1154	2105
YER147C	NC_001137.3	462968	464842	-	1875	277	1164
YER148W	NC_001137.3	465303	466025	+	723	2087	4882
YER149C	NC_001137.3	466208	467470	-	1263	475	2346
YER150W	NC_001137.3	468370	468816	+	447	28	2184
YNCE0026W	NC_001137.3	469457	469530	+	74	592	312
YER151C	NC_001137.3	469686	472424	-	2739	705	5325
YER152C	NC_001137.3	472657	473988	-	1332	3768	5972
YER153C	NC_001137.3	474041	474805	-	765	133	288
YER154W	NC_001137.3	475020	476228	+	1209	394	2822
YER155C	NC_001137.3	476345	482848	-	6504	3049	11913
YER156C	NC_001137.3	483325	484341	-	1017	2106	7441
YER157W	NC_001137.3	484788	487193	+	2406	1194	3236
YNCE0027C	NC_001137.3	487331	487402	-	72	16910	41379
YER158C	NC_001137.3	488857	490578	-	1722	86	1182
YER159C	NC_001137.3	491530	491958	-	429	426	6534
YNCE0028C	NC_001137.3	492352	492424	-	73	613	503
YER160C	NC_001137.3	492856	498124	-	5269	14274	15364
YER159C-A	NC_001137.3	496802	498124	-	1323	2074	4510
YER161C	NC_001137.3	499347	500348	-	1002	228	1330
YER162C	NC_001137.3	500630	502894	-	2265	276	1656
YER163C	NC_001137.3	503084	503782	-	699	836	1426
YER164W	NC_001137.3	505392	509798	+	4407	1119	6957
YER165W	NC_001137.3	510373	512106	+	1734	4083	26445
YER166W	NC_001137.3	512744	517459	+	4716	2064	10499
YER167W	NC_001137.3	518216	520771	+	2556	551	2930
YER168C	NC_001137.3	521029	522669	-	1641	1431	4518
YER169W	NC_001137.3	523369	525759	+	2391	398	4252
YER170W	NC_001137.3	525974	526651	+	678	303	763
YER171W	NC_001137.3	527082	529418	+	2337	800	3187
YER172C	NC_001137.3	529530	536021	-	6492	1435	7096
YER173W	NC_001137.3	536300	538279	+	1980	302	731
YER174C	NC_001137.3	538434	539168	-	735	959	2702
YER175C	NC_001137.3	539464	540363	-	900	139	1687
YER175W-A	NC_001137.3	540650	540814	+	165	8	102
YER176W	NC_001137.3	541690	545055	+	3366	1284	6509
YER177W	NC_001137.3	545611	546414	+	804	13282	65670
YER178W	NC_001137.3	546817	548079	+	1263	5322	22486
YER179W	NC_001137.3;NC_001137.3	548421;548645	548552;549517	+;+	1005	28	215
YER180C	NC_001137.3	549724	550527	-	804	120	755
YER180C-A	NC_001137.3	550865	551122	-	258	128	308
YNCE0029C	NC_001137.3	551285	551358	-	74	94	77
YER181C	NC_001137.3	551473	551796	-	324	5	44
YER182W	NC_001137.3	552525	553259	+	735	426	1994
YER183C	NC_001137.3	553334	553969	-	636	556	1590
YER184C	NC_001137.3	556296	558680	-	2385	382	2787
YER185W	NC_001137.3	559454	560365	+	912	20	254
YER186C	NC_001137.3	561705	562625	-	921	919	3786
YER187W	NC_001137.3	566230	566655	+	426	21	195
YER188W	NC_001137.3	568040	568759	+	720	28	566
YER188C-A	NC_001137.3	569608	569907	-	300	0	19
YER189W	NC_001137.3	571155	571523	+	369	84	272
YER190W	NC_001137.3	571480	576525	+	5046	1594	10022
YER190C-B	NC_001137.3	575680	576162	-	483	135	1172
YFL068W	NC_001138.5	53	535	+	483	113	1125
YFL067W	NC_001138.5	836	1363	+	528	194	1655
YFL066C	NC_001138.5	1437	2615	-	1179	456	2725
YFL065C	NC_001138.5	3030	3338	-	309	74	463
YFL064C	NC_001138.5	3322	3846	-	525	98	438
YFL062W	NC_001138.5	6426	7565	+	1140	198	1822
YFL061W	NC_001138.5	9545	10222	+	678	42	426
YFL060C	NC_001138.5	10301	10969	-	669	102	499
YFL059W	NC_001138.5	11363	12259	+	897	157	675
YFL058W	NC_001138.5	12929	13951	+	1023	13	202
YFL056C	NC_001138.5	14305	15431	-	1127	256	2034
YFL055W	NC_001138.5	17004	18680	+	1677	83	1389
YFL054C	NC_001138.5	20847	22787	-	1941	153	1844
YFL053W	NC_001138.5	23423	25198	+	1776	31	2514
YFL052W	NC_001138.5	28232	29629	+	1398	13	188
YFL051C	NC_001138.5	30058	30540	-	483	3	79
YFL050C	NC_001138.5	33272	35848	-	2577	294	2212
YFL049W	NC_001138.5	36803	38674	+	1872	462	2001
YFL048C	NC_001138.5	38843	40180	-	1338	3079	5170
YFL047W	NC_001138.5	40421	42565	+	2145	637	3255
YFL046W	NC_001138.5	42815	43438	+	624	139	649
YFL045C	NC_001138.5	43628	44392	-	765	13570	18048
YFL044C	NC_001138.5	44655	45560	-	906	697	3038
YFL042C	NC_001138.5	45720	47744	-	2025	396	1192
YFL041W-A	NC_001138.5	48734	48925	+	192	16	93
YFL041W	NC_001138.5	49139	51007	+	1869	3743	9627
YFL040W	NC_001138.5	51350	52972	+	1623	21	153
YFL039C	NC_001138.5;NC_001138.5	53260;54687	54377;54696	-;-	1128	8582	26477
YFL038C	NC_001138.5	55366	55986	-	621	6875	19551
YFL037W	NC_001138.5	56336	57709	+	1374	5361	18297
YNCF0001C	NC_001138.5	57815	58521	-	707	147	417
YFL036W	NC_001138.5	58782	62837	+	4056	1616	5779
YFL034C-B	NC_001138.5;NC_001138.5	63016;63974	63859;63993	-;-	864	118	905
YFL034C-A	NC_001138.5;NC_001138.5	64243;64921	64599;64932	-;-	369	1238	2036
YFL034W	NC_001138.5	65477	68698	+	3222	1063	2378
YFL033C	NC_001138.5	69115	74427	-	5313	332	2720
YFL031W	NC_001138.5;NC_001138.5	75179;76092	75839;76147	+;+	717	47156	98222
YFL030W	NC_001138.5	76831	77988	+	1158	248	2764
YFL029C	NC_001138.5	78055	79161	-	1107	665	2955
YFL028C	NC_001138.5	79344	80213	-	870	1014	3799
YFL027C	NC_001138.5	80419	81912	-	1494	686	4056
YFL026W	NC_001138.5	82580	83875	+	1296	3661	14691
YFL025C	NC_001138.5	84145	87234	-	3090	696	2262
YFL024C	NC_001138.5	87847	90345	-	2499	682	4886
YFL023W	NC_001138.5	90986	93376	+	2391	481	3141
YFL022C	NC_001138.5	93499	95010	-	1512	425	1128
YFL021W	NC_001138.5	95966	97498	+	1533	67	863
YFL020C	NC_001138.5	99231	99599	-	369	4	35
YFL019C	NC_001138.5	100252	100605	-	354	4	34
YNCF0002W	NC_001138.5;NC_001138.5	101376;101443	101411;101478	+;+	72	8776	12306
YFL018C	NC_001138.5	101628	103127	-	1500	3319	8536
YFL017W-A	NC_001138.5	103699	103932	+	234	154	1037
YFL017C	NC_001138.5	103983	104462	-	480	643	1953
YFL016C	NC_001138.5	104701	106236	-	1536	1943	8689
YFL015C	NC_001138.5	106469	106963	-	495	4	84
YFL014W	NC_001138.5	107256	107585	+	330	190	143663
YFL013C	NC_001138.5	107852	109930	-	2079	178	1227
YFL012W	NC_001138.5	110647	111093	+	447	4	19
YFL011W	NC_001138.5	112345	113985	+	1641	7	141
YFL010W-A	NC_001138.5	114990	115274	+	285	1143	5577
YFL010C	NC_001138.5	115108	115743	-	636	2992	16346
YFL009W	NC_001138.5	116145	118484	+	2340	696	3960
YFL008W	NC_001138.5	119429	123106	+	3678	563	2240
YFL007W	NC_001138.5	123479	129910	+	6432	3309	10888
YFL005W	NC_001138.5	130334	130981	+	648	4266	9058
YNCF0003C	NC_001138.5	131061	131503	-	443	434	725
YFL004W	NC_001138.5	131810	134296	+	2487	3565	4589
YFL003C	NC_001138.5	134521	137157	-	2637	54	346
YNCF0004C	NC_001138.5	137486	137559	-	74	54	39
YFL002W-A	NC_001138.5	138204	143517	+	5314	4702	4997
YFL002W-B	NC_001138.5	138204	139520	+	1317	335	1005
YFL002C	NC_001138.5	145114	146934	-	1821	758	5444
YFL001W	NC_001138.5	147131	148459	+	1329	497	2814
YFR001W	NC_001138.5	149110	149724	+	615	726	4508
YFR002W	NC_001138.5	150016	152535	+	2520	2944	7954
YFR003C	NC_001138.5	152657	153124	-	468	153	988
YFR004W	NC_001138.5	153393	154313	+	921	1811	8394
YFR005C	NC_001138.5	154527	155873	-	1347	534	1857
YFR006W	NC_001138.5	156145	157752	+	1608	2398	7766
YNCF0005C	NC_001138.5;NC_001138.5	157916;157971	157951;158007	-;-	73	1496	1961
YFR007W	NC_001138.5	159299	160360	+	1062	132	536
YFR008W	NC_001138.5	160535	161200	+	666	18	137
YNCF0006W	NC_001138.5	162228	162298	+	71	531	790
YFR009W	NC_001138.5	162488	164746	+	2259	5983	21411
YFR010W	NC_001138.5	165067	166566	+	1500	1386	7827
YFR011C	NC_001138.5	166746	167258	-	513	201	1256
YNCF0007W	NC_001138.5;NC_001138.5	167437;167490	167475;167525	+;+	75	513	469
YFR012W	NC_001138.5	167888	168496	+	609	0	127
YFR012W-A	NC_001138.5	169224	169310	+	87	1	41
YFR013W	NC_001138.5	169922	172285	+	2364	708	3076
YFR014C	NC_001138.5	172537	173877	-	1341	682	1457
YFR015C	NC_001138.5	174265	176391	-	2127	117	494
YFR016C	NC_001138.5	177042	180743	-	3702	444	3566
YNCF0008C	NC_001138.5	180974	181044	-	71	549	711
YFR017C	NC_001138.5	182274	182861	-	588	13	350
YFR018C	NC_001138.5	183131	184222	-	1092	531	1741
YFR019W	NC_001138.5	184502	191338	+	6837	701	3714
YNCF0009C	NC_001138.5;NC_001138.5	191513;191577	191557;191613	-;-	82	720	2262
YFR020W	NC_001138.5	192737	193435	+	699	189	860
YFR021W	NC_001138.5	194812	196314	+	1503	143	2329
YFR022W	NC_001138.5	196833	199034	+	2202	112	3484
YNCF0010C	NC_001138.5	199299	199813	-	515	0	7
YFR023W	NC_001138.5	199874	201709	+	1836	25	245
YFR024C-A	NC_001138.5;NC_001138.5	201960;203387	203292;203433	-;-	1380	4495	7977
YFR025C	NC_001138.5	203743	204750	-	1008	750	3895
YNCF0011C	NC_001138.5	204924	204996	-	73	194	218
YFR026C	NC_001138.5	205748	206257	-	510	61	263
YFR027W	NC_001138.5	207452	208297	+	846	66	532
YFR028C	NC_001138.5	208413	210068	-	1656	1122	4089
YNCF0012C	NC_001138.5;NC_001138.5	210619;210669	210654;210707	-;-	75	514	491
YFR029W	NC_001138.5	210937	212973	+	2037	116	969
YFR030W	NC_001138.5	213312	216419	+	3108	351	2198
YFR031C	NC_001138.5	216594	220106	-	3513	729	2976
YFR031C-A	NC_001138.5;NC_001138.5	220507;221415	221267;221418	-;-	765	54634	102574
YNCF0013W	NC_001138.5	221714	221967	+	254	8	17
YFR032C	NC_001138.5	222090	222959	-	870	18	1894
YFR032C-A	NC_001138.5	223258	223437	-	180	12665	58251
YFR032C-B	NC_001138.5	223710	223973	-	264	29	173
YFR033C	NC_001138.5	224326	224769	-	444	507	6789
YFR034C	NC_001138.5	225020	225958	-	939	776	4654
YFR035C	NC_001138.5	226121	226465	-	345	197	1072
YNCF0014C	NC_001138.5	226688	226760	-	73	536	1233
YFR036W	NC_001138.5	226963	227337	+	375	43	379
YFR037C	NC_001138.5	227513	229186	-	1674	3000	9647
YFR038W	NC_001138.5	229380	231941	+	2562	1386	4879
YFR039C	NC_001138.5	232012	233544	-	1533	857	3067
YFR040W	NC_001138.5	234242	237250	+	3009	1097	5035
YFR041C	NC_001138.5	237368	238255	-	888	815	1910
YFR042W	NC_001138.5	238458	239060	+	603	307	716
YFR043C	NC_001138.5	239114	239827	-	714	119	620
YFR044C	NC_001138.5	239992	241437	-	1446	1311	6512
YFR045W	NC_001138.5;NC_001138.5	241998;242082	242009;242999	+;+	930	36	250
YFR046C	NC_001138.5	243074	244159	-	1086	99	887
YFR047C	NC_001138.5	244279	245166	-	888	706	2162
YFR048W	NC_001138.5	246146	248134	+	1989	376	1767
YFR049W	NC_001138.5	248523	248894	+	372	265	769
YFR050C	NC_001138.5	249066	249866	-	801	1029	7171
YFR051C	NC_001138.5	250163	251803	-	1641	748	1717
YFR052W	NC_001138.5	252505	253329	+	825	589	3016
YFR053C	NC_001138.5	253592	255049	-	1458	121	4131
YFR054C	NC_001138.5	258855	259433	-	579	9	44
YFR055W	NC_001138.5	264204	265226	+	1023	4445	14229
YFR057W	NC_001138.5	269061	269516	+	456	0	20
YGL263W	NC_001139.9	2790	3932	+	1143	206	1256
YGL262W	NC_001139.9	5312	5839	+	528	11	136
YGL261C	NC_001139.9	6290	6652	-	363	0	43
YGL260W	NC_001139.9	6860	7090	+	231	0	11
YGL259W	NC_001139.9	8470	8967	+	498	11	148
YGL258W-A	NC_001139.9	9162	9395	+	234	2	66
YGL258W	NC_001139.9	11110	11730	+	621	31	226
YGL257C	NC_001139.9	12481	14157	-	1677	1899	3956
YGL256W	NC_001139.9	15159	16307	+	1149	598	4027
YGL255W	NC_001139.9	20978	22108	+	1131	386	1422
YGL254W	NC_001139.9	22304	23203	+	900	175	1585
YGL253W	NC_001139.9	23935	25395	+	1461	25006	31690
YGL252C	NC_001139.9	25718	27484	-	1767	981	4013
YGL251C	NC_001139.9;NC_001139.9	27921;31579	31426;31636	-;-	3564	216	1705
YGL250W	NC_001139.9	31910	32635	+	726	131	727
YGL249W	NC_001139.9	33098	35212	+	2115	72	681
YNCG0001C	NC_001139.9	33109	35013	-	1905	66	611
YGL248W	NC_001139.9	35653	36762	+	1110	215	3004
YGL247W	NC_001139.9	36933	37526	+	594	286	1053
YGL246C	NC_001139.9	37617	38780	-	1164	562	3199
YGL245W	NC_001139.9	39023	41149	+	2127	12445	47171
YGL244W	NC_001139.9	41498	43174	+	1677	776	3528
YGL243W	NC_001139.9	43307	44509	+	1203	693	2383
YGL242C	NC_001139.9	44652	45197	-	546	1002	2092
YGL241W	NC_001139.9	45445	48459	+	3015	822	2754
YGL240W	NC_001139.9	48613	49365	+	753	111	1719
YGL238W	NC_001139.9	49552	52434	+	2883	2675	9603
YGL237C	NC_001139.9	52731	53528	-	798	47	423
YGL236C	NC_001139.9	53787	55796	-	2010	596	1371
YGL235W	NC_001139.9	55279	55815	+	537	156	401
YGL234W	NC_001139.9	56482	58890	+	2409	8389	20011
YGL233W	NC_001139.9	59122	61854	+	2733	1586	3993
YGL232W	NC_001139.9;NC_001139.9	62075;62190	62131;63002	+;+	870	1068	3870
YGL231C	NC_001139.9	63048	63620	-	573	308	2161
YGL230C	NC_001139.9	63772	64215	-	444	28	119
YGL229C	NC_001139.9	64503	66959	-	2457	277	379
YGL228W	NC_001139.9	67598	69331	+	1734	1069	4527
YGL227W	NC_001139.9	69671	72547	+	2877	693	2002
YGL226C-A	NC_001139.9;NC_001139.9	72749;73138	72988;73158	-;-	261	149	606
YGL226W	NC_001139.9	73340	73711	+	372	146	496
YNCG0002C	NC_001139.9	73829	73902	-	74	631	471
YGL225W	NC_001139.9	76894	77907	+	1014	1971	7520
YGL224C	NC_001139.9	78015	78857	-	843	235	1128
YGL223C	NC_001139.9	79112	80365	-	1254	283	2084
YGL222C	NC_001139.9	80659	81186	-	528	73	761
YGL221C	NC_001139.9	81426	82292	-	867	2745	9653
YGL220W	NC_001139.9	82374	82736	+	363	825	2790
YGL219C	NC_001139.9	82878	84257	-	1380	238	1643
YGL216W	NC_001139.9	84885	87302	+	2418	607	4311
YGL215W	NC_001139.9	87981	89339	+	1359	500	4984
YGL213C	NC_001139.9	90054	91247	-	1194	812	3764
YGL212W	NC_001139.9	91432	92382	+	951	358	1318
YGL211W	NC_001139.9	92512	93591	+	1080	1517	5765
YGL210W	NC_001139.9	93792	94460	+	669	453	2448
YGL209W	NC_001139.9	95858	97006	+	1149	89	5403
YGL208W	NC_001139.9	97338	98585	+	1248	229	1428
YGL207W	NC_001139.9	98969	102076	+	3108	3547	12453
YGL206C	NC_001139.9	102543	107504	-	4962	4302	16429
YGL205W	NC_001139.9	108158	110404	+	2247	34	307
YNCG0003C	NC_001139.9	110625	110696	-	72	3626	13433
YGL204C	NC_001139.9	111700	112005	-	306	99	245
YGL203C	NC_001139.9	112475	114664	-	2190	1645	5340
YNCG0004W	NC_001139.9;NC_001139.9	115488;115548	115524;115583	+;+	73	467	700
YGL202W	NC_001139.9	116059	117561	+	1503	3351	11316
YGL201C	NC_001139.9	117854	120907	-	3054	2352	7469
YNCG0005W	NC_001139.9	122269	122341	+	73	598	1389
YGL200C	NC_001139.9	122694	123305	-	612	4340	15451
YGL198W	NC_001139.9	123591	124298	+	708	1707	7091
YGL197W	NC_001139.9	124698	129161	+	4464	309	2198
YGL196W	NC_001139.9	129883	131169	+	1287	718	4835
YGL195W	NC_001139.9	131525	139543	+	8019	4856	19183
YGL194C-A	NC_001139.9	139719	139961	-	243	122	326
YGL194C	NC_001139.9	140368	141726	-	1359	264	842
YNCG0006C	NC_001139.9	141898	144120	-	2223	147	1869
YGL193C	NC_001139.9	141916	142227	-	312	14	291
YGL192W	NC_001139.9	142246	144048	+	1803	133	1572
YGL191W	NC_001139.9	144808	145197	+	390	357	2598
YGL190C	NC_001139.9	145809	147389	-	1581	778	2639
YGL189C	NC_001139.9	148229	148588	-	360	7525	43594
YGL188C-A	NC_001139.9	148824	148964	-	141	61	273
YGL187C	NC_001139.9	149704	150171	-	468	619	4525
YGL186C	NC_001139.9	151037	152776	-	1740	2031	5934
YGL185C	NC_001139.9	153167	154306	-	1140	332	1592
YGL184C	NC_001139.9	154615	156012	-	1398	27	556
YGL183C	NC_001139.9;NC_001139.9	156543;157283	157199;157285	-;-	660	15	135
YGL181W	NC_001139.9	157906	159096	+	1191	238	1364
YGL180W	NC_001139.9	160065	162758	+	2694	204	1420
YGL179C	NC_001139.9	163409	165091	-	1683	198	8526
YGL178W	NC_001139.9;NC_001139.9	167352;167995	167354;170571	+;+	2580	247	1421
YGL176C	NC_001139.9	171415	173079	-	1665	284	1030
YGL175C	NC_001139.9	173285	174322	-	1038	102	535
YGL174W	NC_001139.9	174545	175345	+	801	67	532
YGL173C	NC_001139.9	175527	180113	-	4587	4749	15868
YGL172W	NC_001139.9	180700	182118	+	1419	1952	6771
YGL171W	NC_001139.9	182390	184084	+	1695	765	4721
YGL170C	NC_001139.9	184153	185394	-	1242	46	289
