Name	MOA	Target	Phase
vandetanib	EGFR inhibitor, RET tyrosine kinase inhibitor, VEGFR inhibitor	EGFR, EPHA1, EPHA10, EPHA2, EPHA3, EPHA4, EPHA5, EPHA6, EPHA7, EPHA8, EPHB1, EPHB2, EPHB3, EPHB4, EPHB6, ERBB2, ERBB3, ERBB4, FLT1, FLT4, KDR, PTK6, RET, SRC, TEK, VEGFA	Launched
VER-155008	HSP inhibitor	HSPA1A	Preclinical
WAY-170523	metalloproteinase inhibitor	MMP13	Preclinical
WAY-200070	estrogen receptor agonist	ERBB2, ERBB3, ERBB4, ESR2	Preclinical
WP1066	STAT inhibitor	STAT3	Phase 1
yohimbine	adrenergic receptor antagonist	ADRA2A, ADRA2B, ADRA2C, DRD2, DRD3, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR7, KCNJ1, KCNJ10, KCNJ11, KCNJ12, KCNJ14, KCNJ15, KCNJ8	Launched
Y16	rho associated kinase inhibitor	RHOA	Preclinical
2-aminobenzenesulfonamide	carbonic anhydrase inhibitor	CA12, CA14, CA2, CA6, CA9	Preclinical
3-bromopyruvate	hexokinase inhibitor	HK2	Preclinical
4-IBP	sigma receptor agonist	SIGMAR1	Preclinical
4-PPBP	sigma receptor ligand	SIGMAR1	Preclinical
